path	size	sha256	class	machine	buildId	soname	needed	exports	imports	jniExports	jniOnLoad	registerNatives	status	registrationImports
lib/arm64-v8a/libstrawhdr.so	18624	d6f5528173e1abd38bd3f02449b2198ff1043d3c175ba687923134fb5b08b036	ELF64	AArch64	703b550340545d7806169fcb8c56429124803253	libstrawhdr.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,libentropy.so,libentropy_ae.so,libentropy_models.so,liblog.so,libm.so	17	38	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libstrawhdr_v1.so	18672	c226f1a19ae8ef4920ab58062dc8d928470d9e71f2109518c587e1739dcd6927	ELF64	AArch64	383b7f1c20bb5fe0f591c4b05f83ca5b7e3e2848	libstrawhdr_v1.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libst_ns_models.so,libttm_nightsight.so,libttm_nightsight_ae.so	17	38	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsuperNight.so	25816	92b14441f77a746d88cb3c174c3aa00ffeb2ace319dbdcb0b293fa98f23da866	ELF64	AArch64	adf6e06b17198fd35bfd489f84b0f1548df1a1ca	libsuperNight.so	libandroid.so,libarcsoft_super_night_raw.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	14	36	9	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsuperPortrait.so	10736	728500ba85c3f2a98a97cdfb49608be14ec89d7724ca451b6e4e95e1e87ad8bc	ELF64	AArch64	6ffeec64d072ffd96d7ed10d1a88f71aa407723a	libsuperPortrait.so	libandroid.so,libarcsoft_superportrait.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	14	19	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsuperPortraitNight.so	22736	7356d892a9460d97d4449df6b30ab0e47afa795c9f349bc07d33d16217fe2aa1	ELF64	AArch64	315b6d0e8426d4b121df9b1c9271f1454c3c28e1	libsuperPortraitNight.so	libandroid.so,libarcsoft_portrait_super_night_raw.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	12	36	8	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsuperResolution.so	17648	f5de4eca5ede13d6101e7b700a6a2affc29e7908eae9697a473080aa4e122cee	ELF64	AArch64	28e81031e988f6523e3d2d4f09179e0ac2aa1483	libsuperResolution.so	libandroid.so,libarcsoft_mf_superresolution.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	24	39	8	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libsuperResolutionRaw.so	47728	9a2a4ed5d8273b49e9ddb3747fc387d11e31f04b092b4111de2db1c6e5a146fd	ELF64	AArch64	3bd6212dd5ee494cdceeb9c55b893d54bd95a1be	libsuperResolutionRaw.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so,libsuperresolution_raw.arcsoft.so	12	53	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libtensorflowlite_jni.so	2099136	38ccafbc427ae9154d707134fc7ea5fb61f766e52289981c2062ebb02e1e6181	ELF64	AArch64		libtensorflowlite_jni.so	libc.so,libdl.so,liblog.so,libm.so	40	92	39	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlsym|0x0000000000000000|0;dlopen|0x0000000000000000|0
lib/arm64-v8a/libturboNightFront.so	47608	577b6c28210d9708158c4884d72db17aba14d9edba08df7944c4d93e7533a302	ELF64	AArch64	bb2468d4dc2388bb199ddf2000ff0c097089f04f	libturboNightFront.so	libandroid.so,libarcsoft_turbo_fusion_raw_portrait_super_night.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	23	50	2	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libturbonight.so	47704	2d049caa79abb358468ddf31d5ddd3a15f0f3690b411c1f108f70953a9cb3b47	ELF64	AArch64	0b9a965d33c386cf769519220357e04c21803cb7	libturbonight.so	libandroid.so,libarcsoft_turbo_fusion_raw_super_night.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	23	50	2	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libwaterMark.so	8416	beba64e3ab023cc6836c5ec79f09c21516d0a5546e7e7e322d48da1c09d35adc	ELF64	AArch64	538431b82afa7e87a5cc74c1ad0be2b91bb3f2cc	libwaterMark.so	libandroid.so,libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so	6	9	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libyuv.so	264040	2f54d33e9c5be7cd99b6c24bcc8f131c5269498dbc62916ae9eafddc91760439	ELF64	AArch64	7c113be840293823433243ace44e65b76d17824f	libyuv.so	libc.so,libdl.so,libm.so,libstdc++.so	562	16	0	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libyuvutils.so	646360	addaca31ea42372a1ff17d8306f1e92411ca5d050e28f1d37dd74b715a234b16	ELF64	AArch64	64d79dbf685e227e87894fd2dd13768c96edd7d3	libyuvutils.so	libc.so,libdl.so,liblog.so,libm.so	1237	55	23	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libzxingcpp_android.so	1948552	3d1fe2f39e57403c0e3e8b6e67155c8c89754a198dbb5a8368d31e876c0ec451	ELF64	AArch64	a0c20732e488945c581813c465f1fa203ef5d9a1	libzxingcpp_android.so	libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so	2725	140	3	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
