path	size	sha256	class	machine	buildId	soname	needed	exports	imports	jniExports	jniOnLoad	registerNatives	status	registrationImports
lib/arm64-v8a/libAWS.so	334320	9b8a4532d158cf20d86ad89af805d68fdf893d7ebee231574f7136ce5696eb5d	ELF64	AArch64	c154fa9b5715f0e338dbf6a6f41ccc0e61aba180	libAWS.so	libandroid.so,libc.so,libdl.so,liblog.so,libm.so	511	63	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libBoostAlgo.so	333096	90fe34da5165c4711b3a02083690fc3c9c47816a2af43ad68dfb6bc151bf4529	ELF64	AArch64	729c5c0250b236c27da4726a23415393d286c935	libBoostAlgo.so	libc.so,libdl.so,liblog.so,libm.so	510	66	2	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libJGRawHDR.so	7464	f9ae5e081ed2b2d1d57552247df09d6b365b5e66ec9c441dc88e31dd0cf67bac	ELF64	AArch64	462e21857be9826841a7c320f2d4ae5c0dd1268e	libJGRawHDR.so	libanc_hdr_check_nothing.so,libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so	8	9	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlopen|0x0000000000000000|0;dlsym|0x0000000000000000|0
lib/arm64-v8a/libRawDeepDenoise.so	20328	76191137dd7b9a562b06fa69c36b0a9f1a2e3a76fdaf13557953692282709521	ELF64	AArch64	3c71a5f288589c56ad0ef7266b0ea502c158be8e	libRawDeepDenoise.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmorpho_RawDeepDenoise.so	18	23	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libRawDeepDenoiseV2.so	19984	75aa6d6682e770f3da1eedb4e1beacd9a20cf2431e90191a7965e7528e10570c	ELF64	AArch64	b9dd2b625bd6cef9f353067696fbb2e8a17293f6	libRawDeepDenoiseV2.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmorpho_RawDeepDenoise.so	18	22	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libRawRPS.so	8656	51a365544a16f190433dfc22c0bd2e75f36f00185dc2d007e5ab42aa04291fbd	ELF64	AArch64	640dbc121ed9301c15a83a727bc01e3117d736cc	libRawRPS.so	libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmorpho_RPS.so	9	13	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libaimoon.so	6744	454aa68adf8ca9f879f4eed5fc4e5b1098069c1298ad5f8d1b362fd4d945dc90	ELF64	AArch64	d380c3ad1ea3fa5e718ff7c0d68a79f65c0b26fb	libaimoon.so	libandroid.so,libarcsoft_ai_moon.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so	6	10	5	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libaimoonv2.so	8872	ab779c64499986d9d919b2013add82bbc770a5a910b39b70d6f51f9559b60b46	ELF64	AArch64	ec3b16f684613b83620edcefa880a6db32ddbc63	libaimoonv2.so	libanc_objdetection.so,libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so	5	12	4	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libalCFR.so	431680	d40edafece37c92e0b06841323edaa93bea0fe9fba0d16b3d2d17a554389b8a7	ELF64	AArch64	c80fee8fba4472afcbf211914700a3bb9a5187d0	libalCFR.so	libc.so,libdl.so,liblog.so,libm.so	588	77	0	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlsym|0x0000000000000000|0;dlopen|0x0000000000000000|0
lib/arm64-v8a/libalCFR_jni.so	10776	0bf86f605441aabdcd79fa4f8b9e640f9ae45f44b1fdd0fa6b9e42c62954d45a	ELF64	AArch64	e08d0d1bbcc1b1db11ed853d45a67c0cafb77db7	libalCFR_jni.so	libalCFR.so,libandroid.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so	13	23	6	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
lib/arm64-v8a/libandroidx.graphics.path.so	10096	41e9a793c43a0f4fddb19e33f346bace464f30f888ba7b9eaf96294ea115bfb6	ELF64	AArch64	a7846ae06d6bf6cf63fa7c5e056b5de493c71567	libandroidx.graphics.path.so	libc.so,libdl.so,libm.so	1	7	0	1	0	DYNAMIC_REGISTRATION_CANDIDATE	
lib/arm64-v8a/libarc.ion.so	272576	970f893af9d4fde7bc605ca047debbf91df67a5222b07043c64656f02437176e	ELF64	AArch64	ffa5228f9800af7b380bbf9a3455dbeffaf90930	libarc.ion.so	libc.so,libcutils.so,libdl.so,libdmabufheap.so,liblog.so,libm.so	585	75	0	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlopen|0x0000000000000000|0
lib/arm64-v8a/libbarhopper_v3.so	4285440	b113238353dc1f5e3ec7dfd21c3f3f2ec3eb40d6fa34efe386d4e66c65ee6af3	ELF64	AArch64	1320f35a695ec81f5ea1b87bcb3df66d	libbarhopper_v3.so	libc.so,libdl.so,libjnigraphics.so,liblog.so,libm.so	10	182	8	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	dlsym|0x0000000000000000|0;dlopen|0x0000000000000000|0
lib/arm64-v8a/libbeautyShot.so	41904	695da24a18f712c012d741951c9dc3f22d3d3994ea6b3085921356023a37f291	ELF64	AArch64	a969f3c10702ee1952ccaa5f0a1c0d52fc0b6ad8	libbeautyShot.so	libandroid.so,libarcsoft_beautyshot.so,libc.so,libdl.so,libdumpUtil.so,liblog.so,libm.so,libmpbase.so	38	37	7	0	0	NO_STATIC_DYNAMIC_REGISTRATION_MARKER	
