dex	method	class	invokeCount	status	literals	matches
classes4.dex	Lcom/nothing/algolib/maskdetection/MaskDetectionUtil;-><clinit>()V	com.nothing.algolib.maskdetection.MaskDetectionUtil	1	PACKAGED_LIBRARY_MATCH	MaskDetectionUtil,maskDetection	maskDetection|lib/arm64-v8a/libmaskDetection.so
classes4.dex	Lcom/nothing/algolib/notedetect/NoteDetectUtil;-><clinit>()V	com.nothing.algolib.notedetect.NoteDetectUtil	1	PACKAGED_LIBRARY_MATCH	NoteDetectUtil,noteDetect	noteDetect|lib/arm64-v8a/libnoteDetect.so
classes4.dex	Lcom/nothing/algolib/offlineproc/OfflineProcServer;-><clinit>()V	com.nothing.algolib.offlineproc.OfflineProcServer	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH		
classes4.dex	Lcom/nothing/algolib/portraitrepair/PortraitRepairUtil;-><clinit>()V	com.nothing.algolib.portraitrepair.PortraitRepairUtil	1	PACKAGED_LIBRARY_MATCH	portraitRepair	portraitRepair|lib/arm64-v8a/libportraitRepair.so
classes4.dex	Lcom/nothing/algolib/rawdeepdenoise/RawDeepDenoiseUtil;-><clinit>()V	com.nothing.algolib.rawdeepdenoise.RawDeepDenoiseUtil	1	PACKAGED_LIBRARY_MATCH	RawDeepDenoise,com.nothing.camera.motioncapture.dump	RawDeepDenoise|lib/arm64-v8a/libRawDeepDenoise.so
classes4.dex	Lcom/nothing/algolib/rawdeepdenoise/RawDeepDenoiseUtilV2;-><clinit>()V	com.nothing.algolib.rawdeepdenoise.RawDeepDenoiseUtilV2	1	PACKAGED_LIBRARY_MATCH	RawDeepDenoiseV2,com.nothing.camera.motioncapture.dump	RawDeepDenoiseV2|lib/arm64-v8a/libRawDeepDenoiseV2.so
classes4.dex	Lcom/nothing/algolib/rawhdr/RawHDRUtil;-><clinit>()V	com.nothing.algolib.rawhdr.RawHDRUtil	1	PACKAGED_LIBRARY_MATCH	rawhdrcapture,rawhdrfrontcapture,rawhdrmtkcapture	rawhdrcapture|lib/arm64-v8a/librawhdrcapture.so;rawhdrfrontcapture|lib/arm64-v8a/librawhdrfrontcapture.so;rawhdrmtkcapture|lib/arm64-v8a/librawhdrmtkcapture.so
classes4.dex	Lcom/nothing/algolib/rawhdr/RawJGEvUtil;-><clinit>()V	com.nothing.algolib.rawhdr.RawJGEvUtil	1	PACKAGED_LIBRARY_MATCH	JGRawHDR	JGRawHDR|lib/arm64-v8a/libJGRawHDR.so
classes4.dex	Lcom/nothing/algolib/rawhdr/RawSTHDRUtil;-><clinit>()V	com.nothing.algolib.rawhdr.RawSTHDRUtil	1	PACKAGED_LIBRARY_MATCH	strawhdr,strawhdr_v1	strawhdr|lib/arm64-v8a/libstrawhdr.so;strawhdr_v1|lib/arm64-v8a/libstrawhdr_v1.so
classes4.dex	Lcom/nothing/algolib/rawrps/RawRpsUtil;-><clinit>()V	com.nothing.algolib.rawrps.RawRpsUtil	1	PACKAGED_LIBRARY_MATCH	RawRPS,com.nothing.camera.rps.dump	RawRPS|lib/arm64-v8a/libRawRPS.so
classes4.dex	Lcom/nothing/algolib/removepurpleedge/RemovePurpleEdgeUtil;-><clinit>()V	com.nothing.algolib.removepurpleedge.RemovePurpleEdgeUtil	1	PACKAGED_LIBRARY_MATCH	remove_purple_edge	remove_purple_edge|lib/arm64-v8a/libremove_purple_edge.so
classes4.dex	Lcom/nothing/algolib/scenedetection/ISceneDetection$LibLoader;-><clinit>()V	com.nothing.algolib.scenedetection.ISceneDetection$LibLoader	1	PACKAGED_LIBRARY_MATCH	ISceneDetection,scene_detection_util,scene_detection_util_v2	scene_detection_util|lib/arm64-v8a/libscene_detection_util.so;scene_detection_util_v2|lib/arm64-v8a/libscene_detection_util_v2.so
classes4.dex	Lcom/nothing/algolib/singlecambokeh/ISingleCamBokeh$LibLoader;-><clinit>()V	com.nothing.algolib.singlecambokeh.ISingleCamBokeh$LibLoader	1	PACKAGED_LIBRARY_MATCH	ISingleCamBokeh,singlecamBokeh,singlecamBokehV2,singlecamBokehV3	singlecamBokeh|lib/arm64-v8a/libsinglecamBokeh.so;singlecamBokehV2|lib/arm64-v8a/libsinglecamBokehV2.so;singlecamBokehV3|lib/arm64-v8a/libsinglecamBokehV3.so
classes4.dex	Lcom/nothing/algolib/supernight/SuperNightUtil;-><clinit>()V	com.nothing.algolib.supernight.SuperNightUtil	1	PACKAGED_LIBRARY_MATCH	superNight,superPortraitNight	superNight|lib/arm64-v8a/libsuperNight.so;superPortraitNight|lib/arm64-v8a/libsuperPortraitNight.so
