key	value	valueType	codeUnitOffset	literalReferenceMethodCount	nonConfigMapReferenceMethodCount	productConfigReference
FEATURE_DUAL_BOKEH_NIGHT_EV_MINUS_VALUE	-5	integer	0370	7	1	True
FEATURE_DUAL_BOKEH_NIGHT_EV_MINUS_PLUS_VALUE	-4	integer	0379	7	1	True
FEATURE_SUPERNIGHT_EV_MINUS_VALUE	-3	integer	0382	7	1	True
FEATURE_SUPERNIGHT_EV_MINUS_PLUS_VALUE	-6	integer	038b	7	1	True
FEATURE_FRONT_SUPERNIGHT_EV_MINUS_VALUE	-3	integer	0394	7	1	True
FEATURE_FRONT_SUPERNIGHT_EV_MINUS_PLUS_VALUE	-6	integer	039d	7	1	True
FEATURE_CAMERA_MOTION_CAPTURE_PRIOR	false	boolean	03a4	7	1	True
FEATURE_CAMERA_VIDEO_4K_30FPS_LOWER_LIMIT	24	integer	03ab	7	1	True
FEATURE_SCREEN_DISPLAY_P3	1	integer	03b4	7	1	True
FEATURE_SUPPORT_SURFACE_P3	true	boolean	03bb	4	1	True
FEATURE_FULL_SCREENS_P3	true	boolean	03c2	5	1	True
FEATURE_LOWER_PREVIEW_FPS_NTC_TYPE	shell_max	string	03cb	7	1	True
FEATURE_LOWER_PREVIEW_FPS_NTC_TYPE_SWITCH_DEFAULT	1	integer	03d2	7	1	True
FEATURE_CAMERA_SUPPORT_WIDE_LENS	true	boolean	03d9	5	1	True
FEATURE_CAMERA_SINGLE_BOKEH	3	integer	03e2	6	1	True
FEATURE_CAMERA_HDRV5	true	boolean	03e9	5	1	True
FEATURE_CAMERA_DETECT_DOC_UW	false	boolean	03f0	7	1	True
FEATURE_SUPPORT_CAMERA_DETECT_DOC	false	boolean	03f7	5	1	True
FEATURE_SUPPORT_SCENE_DETECTION	true	boolean	03fe	5	1	True
FEATURE_FRONT_PICTURE_SIZE_ALIGN_FILTER	32	integer	0407	5	1	True
FEATURE_FLASH_SUPPORT_LED	false	boolean	040e	5	1	True
FEATURE_FRONT_SUPPLEMENTARY_LIGHT_LEAKAGE	true	boolean	0415	5	1	True
FEATURE_SUPPORT_MTK_SAT_CAPTURE_CROP	true	boolean	041c	2	1	True
FEATURE_OFFLINE_LIB_NAME	offlineproc_jni_aidl	string	0425	5	1	True
FEATURE_REDUCE_BOKEH_IMAGE_DEGREE	180	integer	042e	5	1	True
FEATURE_CAMERA_SUPPORT_HDR_BIT_MASK	32	integer	043b	9	1	True
FEATURE_CAMERA_VIDEO_SUPEREIS_ZOOM_SUPPORT	false	boolean	0442	7	1	True
FEATURE_VIDEO_DETECT_NIGHT_THRESHOLD	380	integer	044b	7	1	True
FEATURE_FRONT_VIDEO_DETECT_NIGHT_THRESHOLD	355	integer	0454	7	1	True
FEATURE_OFFLINE_SUPPORT_MULTI_TUNING	true	boolean	045b	7	1	True
FEATURE_AE_CUSTOM_CALC_INFO	true	boolean	0462	5	1	True
FEATURE_AE_CUSTOM_CALC_HDR_INFO	1	integer	0469	7	1	True
FEATURE_REDUCE_BOKEH_LEVEL	3	integer	0472	8	1	True
FEATURE_PHOTO_MODE_NEED_SET_MIN_FPS	true	boolean	0479	5	1	True
FEATURE_FRONT_ALL_ASPECT_RATIO_SUPPORT_UPSCALE	true	boolean	0480	6	1	True
FEATURE_CAMERA_PHOTO_THERMAL_POLICY	12	integer	0489	5	1	True
FEATURE_FOCALLENGTH_THRESHOLD	false	boolean	0490	7	1	True
FEATURE_FOCALLENGTH_BACK_DEFAULT_THRESHOLD	24mm	string	0499	8	1	True
FEATURE_FOCALLENGTH_FRONT_DEFAULT_THRESHOLD	29mm	string	04a2	9	1	True
FEATURE_FOCALLENGTH_FRONT_VIDEO_TIMELAPSE_THRESHOLD	24mm	string	04a9	9	1	True
FEATURE_COLOR_MODE	true	boolean	04b0	6	1	True
FEATURE_REMOVE_G_DEPTH	true	boolean	04b7	5	1	True
FEATURE_CAMERA_ALGO_PREINITIALIZER	true	boolean	04be	5	1	True
FEATURE_ENABLE_MUTUAL_EXCLUSION	true	boolean	04c5	6	1	True
FEATURE_RATER_DETECT_PERIOD	4	integer	04ce	7	1	True
FEATURE_FLASH_LUX_FRONT_THRESHOLD	370	integer	04d7	6	1	True
FEATURE_SUPPORT_FOODANDFLOWER_NEWTUNINGTAG	true	boolean	04de	5	1	True
FEATURE_NIGHT_SHUTTER_DELAY	0	integer	04e5	7	1	True
FEATURE_HDR5_CAL_EV_BY_TUNING	1	integer	04ec	5	1	True
FEATURE_CHANGE_BACK_CAMERA_CAPTURE_SIZE	false	boolean	04f3	7	1	True
FEATURE_NCF_CaptureModeEnable	true	boolean	04fa	5	1	True
FEATURE_NCF	true	boolean	0501	8	1	True
FEATURE_CAMERA_LSD_DET_VERSION	1	integer	0508	7	1	True
FEATURE_CAMERA_DUAL_BOKEH_SUPPORT_JAVA	false	boolean	050f	3	1	True
FEATURE_CAMERA_DUAL_BOKEH	2	integer	0518	3	1	True
FEATURE_CAMERA_SCENE_DETECTION	2	integer	051f	3	1	True
FEATURE_CAMERA_BEAUTY_SHOT	2	integer	0526	3	1	True
FEATURE_SUPPORT_TETRAS_FILTER	true	boolean	052d	4	1	True
FEATURE_PHOTO_EIS_SUPPORT	true	boolean	0534	4	1	True
FEATURE_VIDEO_SMARTEIS_SUPPORT	true	boolean	053b	4	1	True
FEATURE_AIMOON_SUPPORT	true	boolean	0542	4	1	True
FEATURE_CAMERA_AI_MOON	2	integer	0549	3	1	True
FEATURE_SUPPORT_GOOGLE_LENS_IN_CENTER_MENU	false	boolean	0550	5	1	True
FEATURE_CAMERA_SUPER_NIGHT_LITE	true	boolean	0557	4	1	True
FEATURE_SUPER_RESOLUTION_TUNING_MODE_NE	40	integer	0564	3	1	True
FEATURE_SUPER_RESOLUTION_TUNING_MODE_SE	41	integer	0571	3	1	True
FEATURE_SUPER_RESOLUTION_TUNING_MODE_HDR_NE	42	integer	057e	3	1	True
FEATURE_SUPER_RESOLUTION_TUNING_MODE_HDR_SE	43	integer	058b	3	1	True
FEATURE_SUPER_NIGHT_LITE_TUNING_MODE	44	integer	0598	3	1	True
FEATURE_SUPER_NIGHT_TUNING_MODE	46	integer	05a5	3	1	True
FEATURE_SUPER_NIGHT_DARK_VERSION_TUNING_MODE	45	integer	05b2	3	1	True
FEATURE_SUPER_NIGHT_LITE_SHOW_ANIM	true	boolean	05b9	6	1	True
FEATURE_SUPPORT_VIDEO_ACTIONMODE	false	boolean	05c0	4	1	True
FEATURE_AE_GLOBAL_EXPOSURE_COMPENSATION	true	boolean	05c7	4	1	True
FEATURE_CAMERA_PREF_GALLERY	com.nothing.gallery	string	05d0	6	1	True
FEATURE_SUPPORT_LIGHT_SPOT	true	boolean	05d7	4	1	True
FEATURE_MEDIA_CAMERA_NIGHTSHOT_SUPPORTED	true	boolean	05de	6	2	True
FEATURE_LOGIC_CAMERA_ID_FIRST_BOKEH	false	boolean	05e5	3	1	True
FEATURE_SUPPORT_BOKEH_ZOOM_2X_TELE	true	boolean	05ec	3	1	True
FEATURE_CAMERA_SUPPORT_WIDE_LENS_For_4K_Or_60FPS	false	boolean	05f3	5	1	True
FEATURE_SHOW_HDR_MAX_ZOOM	8.1	float	05fc	3	1	True
FEATURE_TUNING_HIGH_ZOOM	8.1	float	0603	3	1	True
FEATURE_SHOW_NIGHT_MAX_ZOOM	4.0	float	060c	3	1	True
FEATURE_SUPER_RESOLUTION_MIN_ZOOM	8.1	float	0613	3	1	True
FEATURE_CAMERA_TIME_LAPSE_SAT_1080P_SUPPORT	true	boolean	061a	3	1	True
FEATURE_WIDE_LEN_FOCAL_LENGTH_35MM_FILM	15mm	string	0623	4	1	True
FEATURE_BASE_FOCAL_LENGTH_35MM_FILM_X1	24mm	string	062a	6	1	True
FEATURE_BASE_FOCAL_LENGTH_35MM_FILM_X2	50mm	string	0633	3	1	True
FEATURE_BASE_FOCAL_LENGTH_35MM_FILM_X4	100mm	string	063c	3	1	True
FEATURE_CAMERA_VIDEO_60FPS_UW	false	boolean	0643	3	1	True
FEATURE_CAMERA_VIDEO_4K_UW	false	boolean	064a	3	1	True
FEATURE_MEDIA_CAMERA_STORAGE_SUPPORTED	true	boolean	0651	4	1	True
FEATURE_CAMERA_VIDEO_SAT_ONLY_1080P30FPS_SUPPORT	true	boolean	0658	7	1	True
FEATURE_ALL_MODE_SUPPORT_P3_DISPLAY	true	boolean	065f	4	1	True
FEATURE_SUPPORT_DARK_THEME_ONLY	true	boolean	0666	8	1	True
FEATURE_SUPPORT_TELEVIEWHELPER	true	boolean	066d	3	1	True
FEATURE_TELE_VIEW_HELPER_INDICATOR_VISIBLE_ZOOM_RATIO	[15,30]	range_or_list	0676	4	1	True
FEATURE_SUPPORT_SYSTEM_ADJUST_BRIGHTNESS	true	boolean	067d	8	1	True
FEATURE_CAMERA_SUPPORT_WIDE_LENS_50M	false	boolean	0684	5	1	True
FEATURE_BOKEH_DEFAULT_ZOOM	2	integer	068b	4	1	True
FEATURE_MEDIA_SCREEN_FLASH_CIRCLE_HEIGHT	66	integer	0694	3	1	True
FEATURE_FREEZE_BACKGROUND	true	boolean	069b	4	1	True
FEATURE_BOKEH_PREVIEW_ALGO_HAS_CACHE_FRAME	true	boolean	06a2	3	1	True
FEATURE_MOON_ZOOM_THRESHOLD	10	integer	06a9	4	1	True
FEATURE_VIDEO_NIGHT_SUPPORT_SAT	true	boolean	06b0	2	1	True
FEATURE_HAPTIC_FEEDBACK_ENABLED_OFF	true	boolean	06b7	3	1	True
FEATURE_FILTER_ON_HDR	true	boolean	06be	4	1	True
FEATURE_REMOSAIC_SUPPORT_YUV	true	boolean	06c5	4	1	True
FEATURE_RECORD_SUPPORT_BT_709	true	boolean	06cc	3	1	True
